feature,timestamp,Max-mag,Max-x,Max-y,Max-z,Mean-mag,Mean-x,Mean-y,Mean-z,Min-mag,Min-x,Min-y,Min-z,Std-mag,Std-x,Std-y,Std-z,label
1962,1180200,0.537184663,0.257796258,0.700581395,0.248697917,0.680964552,0.50688728,0.93529708,0.294694111,0.681717601,0.534615385,0.793002915,0.588469185,0.370805155,0.158529295,0.601341565,0.208973689,4
1963,1180800,0.537184663,0.257796258,0.700581395,0.248697917,0.689539555,0.531768356,0.917490616,0.317814215,0.681717601,0.534615385,0.793002915,0.588469185,0.378392389,0.162743276,0.625911428,0.22008566,4
1964,1181400,0.537184663,0.257796258,0.700581395,0.248697917,0.713371366,0.550030629,0.927067352,0.359798375,0.691354683,0.534615385,0.793002915,0.588469185,0.378258991,0.157907481,0.640377108,0.216709799,4
1965,1182000,0.537184663,0.276507277,0.700581395,0.248697917,0.727418018,0.549741468,0.943834112,0.381783007,0.709312077,0.534615385,0.793002915,0.534791252,0.363928516,0.165236912,0.637084176,0.216407682,4
1966,1182600,0.373906668,0.322245322,0.700581395,0.235677083,0.741871174,0.558262668,0.950975007,0.408296597,0.709312077,0.628846154,0.793002915,0.534791252,0.330256542,0.162105121,0.625086852,0.218045082,4
1967,1183200,0.373906668,0.322245322,0.700581395,0.235677083,0.741745685,0.55958635,0.949212671,0.408328312,0.716469864,0.578846154,0.801749271,0.528827038,0.322386822,0.168471556,0.62406628,0.227001067,4
1968,1183800,0.37421974,0.322245322,0.700581395,0.235677083,0.737888302,0.556463289,0.953629955,0.392597761,0.716469864,0.578846154,0.801749271,0.528827038,0.318004868,0.165525313,0.602888357,0.231061414,4
1969,1184400,0.37421974,0.322245322,0.700581395,0.235677083,0.735046951,0.551416753,0.957452165,0.383337033,0.716469864,0.578846154,0.801749271,0.528827038,0.313391834,0.166833444,0.603991759,0.23191291,4
1970,1185000,0.44073508,0.326403326,0.784883721,0.235677083,0.749542373,0.566080662,0.967705758,0.395705813,0.740079324,0.578846154,0.801749271,0.524850895,0.333866126,0.18207676,0.637764784,0.241763658,4
1971,1185600,0.44073508,0.326403326,0.784883721,0.229166667,0.73421948,0.589765049,0.918130445,0.389672523,0.740079324,0.578846154,0.801749271,0.524850895,0.336369209,0.17834401,0.611485762,0.244566032,4
